Pokemon,tipos_en_moves,Cluster_P2
Magby,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Electric Electric Electric Grass Grass Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dark Dark Dark Dark Dark Steel Steel Steel,13
Magcargo,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Electric Electric Grass Grass Grass Ice Ice Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Steel Steel Steel Steel,1
Magikarp,Normal Normal Normal Normal Normal Water Flying,4
Magmar,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Electric Electric Electric Grass Grass Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dark Dark Dark Dark Dark Steel Steel Steel,13
Magmortar,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Electric Electric Electric Electric Grass Grass Grass Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel,13
Magnemite,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Grass Grass Ice Ice Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Ghost Ghost Dragon Dragon Dark Dark Steel Steel Steel Steel Steel Steel Steel Steel,10
Magneton,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Grass Grass Ice Ice Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Ghost Ghost Dragon Dragon Dark Dark Steel Steel Steel Steel Steel Steel Steel Steel,10
Magnezone,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Grass Grass Ice Ice Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Ghost Ghost Dragon Dragon Dark Dark Steel Steel Steel Steel Steel Steel Steel Steel Steel,10
Makuhita,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Water Water Water Water Water Electric Electric Electric Grass Grass Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Steel Steel Steel Steel,12
Malamar,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Water Water Water Electric Electric Electric Grass Grass Ice Ice Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel,15
Mamoswine,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Water Water Water Water Electric Electric Electric Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Steel Steel Steel Fairy,9
Manaphy,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Poison Poison Poison Poison Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Steel Steel Fairy Fairy,18
Mandibuzz,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Water Water Water Electric Electric Grass Grass Ice Ice Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel,14
Manectric,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Grass Grass Ice Ice Ice Ice Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel,10
Mankey,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Grass Grass Grass Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel,12
Mantine,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dark Dark Steel Steel Steel,18
Mantyke,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dark Dark Steel Steel,18
Maractus,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Fighting Fighting Fighting Poison Poison Poison Poison Poison Ground Ground Ground Flying Flying Flying Flying Flying Psychic Psychic Psychic Bug Bug Bug Rock Rock Ghost Ghost Dragon Dragon Dark Dark Dark Dark Steel Steel,17
Mareep,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Ice Ice Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Steel Steel Steel,10
Marill,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Rock Rock Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Steel Steel Steel Fairy Fairy,18
Marowak,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Electric Electric Electric Grass Grass Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Dragon Dragon Dragon Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Fairy,1
Marshtomp,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Steel Steel Steel,2
Masquerain,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dark Dark Dark Steel Steel,7
Mawile,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel Fairy Fairy Fairy Fairy,14
Medicham,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Water Water Water Electric Electric Electric Grass Grass Grass Grass Grass Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Steel Steel Steel,12
Meditite,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Water Water Water Electric Electric Electric Grass Grass Grass Grass Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Steel Steel Steel,12
Meganium,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dark Dark Steel Steel Steel,17
Meloetta,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Fairy,11
Meowstic-F,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Ice Ice Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Fairy Fairy,11
Meowstic-M,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Grass Grass Grass Ice Ice Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Fairy Fairy Fairy,11
Meowth,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Water Water Electric Electric Electric Electric Electric Grass Grass Grass Grass Ice Ice Ice Fighting Fighting Fighting Poison Poison Poison Poison Ground Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Fairy,4
Metagross,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Electric Electric Grass Grass Grass Grass Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel Steel Steel Steel,1
Metang,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Electric Electric Grass Grass Grass Grass Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel Steel Steel Steel,1
Metapod,Normal Normal Normal Electric Bug Bug Bug Steel,16
Mew,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel Steel Steel Steel Fairy,5
Mewtwo,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel,11
